,id,question,answer,distractor1,distractor2,distractor(unsure),label,choice_list,choice_order
10,SP-5_SR,"There are five apples in a basket. You distribute them among the five girls, giving each one an apple while leaving one apple in the basket. How is that even doable?",Give the fifth girl her apple in the basket.,Two girls decide to share one apple.,One girl is polite and return her apple back.,None of above.,1,"['Two girls decide to share one apple.', 'Give the fifth girl her apple in the basket.', 'One girl is polite and return her apple back.', 'None of above.']","[1, 0, 2, 3]"
11,SP-5_CR,"There is a peculiar vase holding seven magical beans. You must distribute these beans among seven sorcerers, ensuring each one gets a bean, but still leaving one bean in the vase. How could this enchanting scenario occur?",Hand over the final bean to the seventh sorcerer without removing it from the vase.,Two sorcerers decide to share one apple.,One sorcerers is polite and return the apple back.,None of above.,1,"['Two sorcerers decide to share one apple.', 'Hand over the final bean to the seventh sorcerer without removing it from the vase.', 'One sorcerers is polite and return the apple back.', 'None of above.']","[1, 0, 2, 3]"
12,SP-6,Tom and his younger sister were fighting. Their mother was tired of the fighting and decided to punish them by making them stand on the same piece of newspaper in such a way that they couldn't touch each other. How did she accomplish this?,"Tom's mother slid a newspaper under a door, each sibling standing on each side.",Tom and his younger sister stand on the newspaper back-to-back.,The newspaper was folded multiple times and ended with a special shape.,None of above.,0,"[""Tom's mother slid a newspaper under a door, each sibling standing on each side."", 'Tom and his younger sister stand on the newspaper back-to-back.', 'The newspaper was folded multiple times and ended with a special shape.', 'None of above.']","[0, 1, 2, 3]"
13,SP-6_SR,"Tom was arguing with his younger sister. Because of the fighting, their mother decided to have them stand on the same piece of newspaper so they couldn't touch each other as punishment. How did she manage to do this?","Tom's mother slid a newspaper under a door, each sibling standing on each side.",Tom and his younger sister stand on the newspaper back-to-back.,The newspaper was folded multiple times and ended with a special shape.,None of above.,2,"['The newspaper was folded multiple times and ended with a special shape.', 'Tom and his younger sister stand on the newspaper back-to-back.', ""Tom's mother slid a newspaper under a door, each sibling standing on each side."", 'None of above.']","[2, 1, 0, 3]"
14,SP-6_CR,"A couple is having a disagreement over the man's error. The man kept apologizing and pleading with the woman to allow him to see her directly. The woman was still upset. Thus, she wouldn't agree. The couple, though, was positioned on the same mat. How is that even doable?","The couple was standing on two sides of the girl's apartment door, which had a rug under it.",The woman kept turning her back to the man.,The mat was folded in multiple times and end up with a special shape.,None of above.,2,"['The mat was folded in multiple times and end up with a special shape.', 'The woman kept turning her back to the man.', ""The couple was standing on two sides of the girl's apartment door, which had a rug under it."", 'None of above.']","[2, 1, 0, 3]"
15,SP-7,"A horse is tied to a five-meter rope in front of an old saloon. Ten meters behind the horse is a bale of hay. Without breaking his rope, the horse is able to eat the hay whenever he chooses.
How is this possible?",The rope is not tied to anything else.,"The walls of the saloon retract or collapse inwards, creating more space for the horse to reach the hay.","The rope stretches proportionally, providing the extra length needed for the horse to reach the hay ten meters away.",None of above.,1,"['The rope stretches proportionally, providing the extra length needed for the horse to reach the hay ten meters away.', 'The rope is not tied to anything else.', 'The walls of the saloon retract or collapse inwards, creating more space for the horse to reach the hay.', 'None of above.']","[2, 0, 1, 3]"
16,SP-7_SR,"In front of an old saloon, a horse is chained to a five-meter rope. Hay bale is ten meters behind the horse. The horse can eat the hay whenever he wants without severing his rope. How is that even possible?",The rope is not tied to anything else.,"The walls of the saloon retract or collapse inwards, creating more space for the horse to reach the hay.","The rope stretches proportionally, providing the extra length needed for the horse to reach the hay ten meters away.",None of above.,1,"['The walls of the saloon retract or collapse inwards, creating more space for the horse to reach the hay.', 'The rope is not tied to anything else.', 'The rope stretches proportionally, providing the extra length needed for the horse to reach the hay ten meters away.', 'None of above.']","[1, 0, 2, 3]"
17,SP-7_CR,"If a boat is parked in a marina and tied to a nearby station, how did its owner found the boat a couple of hours later in the middle of the ocean?",The station wasn't fixed in the marina,The boat is towed by police.,The intense weather conditions flood the marina.,None of above.,2,"['The intense weather conditions flood the marina.', 'The boat is towed by police.', ""The station wasn't fixed in the marina"", 'None of above.']","[2, 1, 0, 3]"
18,SP-8,"All of Mrs. Smith pets are dogs except one, and all her pets are cats except one. But Mrs.Smith only has 2 pets, how is that possible?",Mrs. Smith has one cat and one dog.,Mrs.Smith has one additional pet that is neither a dog or a cat.,Mrs.Smith has one hybrid pet that is a dog and a cat at the same time.,None of above.,2,"['Mrs.Smith has one additional pet that is neither a dog or a cat.', 'Mrs.Smith has one hybrid pet that is a dog and a cat at the same time.', 'Mrs. Smith has one cat and one dog.', 'None of above.']","[1, 2, 0, 3]"
19,SP-8_SR,"All but one of Mrs. Smith's pets are dogs, and all but one are cats. But how is it possible that Mrs. Smith only has two pets?",Mrs. Smith has one cat and one dog.,Mrs.Smith has one additional pet that is neither a dog or a cat.,Mrs.Smith has one hybrid pet that is a dog and a cat at the same time.,None of above.,2,"['Mrs.Smith has one hybrid pet that is a dog and a cat at the same time.', 'Mrs.Smith has one additional pet that is neither a dog or a cat.', 'Mrs. Smith has one cat and one dog.', 'None of above.']","[2, 1, 0, 3]"
20,SP-8_CR,"All but one of Mr. Brown's cars are red, and all but one are blue. However, Mr. Brown only has two cars. How is this possible?",Mr. Brown has one red car and one blue car.,Mrs.Smith has one additional car that is neither a red or a blue.,Mrs.Smith has one car that is blue and red at the same time.,None of above.,2,"['Mrs.Smith has one additional car that is neither a red or a blue.', 'Mrs.Smith has one car that is blue and red at the same time.', 'Mr. Brown has one red car and one blue car.', 'None of above.']","[1, 2, 0, 3]"
21,SP-9,"The 22nd and 24th presidents of the United States of America had the same parents, but were not brothers. How can this be possible?",They were the same man.,Their parents got divorced.,The 24th president has better performance during tenure.,None of above.,0,"['They were the same man.', 'Their parents got divorced.', 'The 24th president has better performance during tenure.', 'None of above.']","[0, 1, 2, 3]"
22,SP-9_SR,"Despite sharing the same parents, the 22nd and 24th presidents of the United States of America were not related. How is this even conceivable?",They were the same man.,Their parents got divorced.,The 24th president has better performance during tenure.,None of above.,2,"['The 24th president has better performance during tenure.', 'Their parents got divorced.', 'They were the same man.', 'None of above.']","[2, 1, 0, 3]"
23,SP-9_CR,"The coaches of the first and the fifth national basket ball champion shares the same parents, but were not brothers. How can this be possible?",They were the same man.,Their parents got divorced.,The first coach has better performance during tenure.,None of above.,2,"['The first coach has better performance during tenure.', 'Their parents got divorced.', 'They were the same man.', 'None of above.']","[2, 1, 0, 3]"
24,SP-10,There were eight girls going to school. They were sharing one umbrella. How come all the girls did not get wet?,Because it was not raining.,The umbrella that the girls were sharing was exceptionally large or had a wide canopy.,The eight girls could have been sharing the umbrella at different times or taking turns using it.,None of above.,1,"['The eight girls could have been sharing the umbrella at different times or taking turns using it.', 'Because it was not raining.', 'The umbrella that the girls were sharing was exceptionally large or had a wide canopy.', 'None of above.']","[2, 0, 1, 3]"
25,SP-10_SR,Eight girls attended the school. They were using the same umbrella. Why did none of the females get wet?,Because it was not raining.,The umbrella that the girls were sharing was exceptionally large or had a wide canopy.,The eight girls could have been sharing the umbrella at different times or taking turns using it.,None of above.,1,"['The eight girls could have been sharing the umbrella at different times or taking turns using it.', 'Because it was not raining.', 'The umbrella that the girls were sharing was exceptionally large or had a wide canopy.', 'None of above.']","[2, 0, 1, 3]"
26,SP-10_CR,"Eight people were sitting under a large tree. Suddenly, a gust of wind blows, yet none of them got hit by any falling leaves. How is this possible?",It was winter and the tree doesn't have any leaves.,People were camping under the tree.,The wind blows heavily.,None of above.,0,"[""It was winter and the tree doesn't have any leaves."", 'People were camping under the tree.', 'The wind blows heavily.', 'None of above.']","[0, 1, 2, 3]"
27,SP-11,A black dog stands in the middle of an intersection in a town painted black. None of the street lights are working due to a power failure caused by a storm. A car with two broken headlights drives towards the dog but turns in time to avoid hitting him. How could the driver have seen the dog in time?,It was during the daylight hours.,"The broken headlights can emit a small amount of light, even if it's dim. ",The driver could have relied on their sense of hearing to detect the presence of the dog.,None of above.,0,"['It was during the daylight hours.', 'The driver could have relied on their sense of hearing to detect the presence of the dog.', ""The broken headlights can emit a small amount of light, even if it's dim. "", 'None of above.']","[0, 2, 1, 3]"
28,SP-11_SR,"A town that has been painted black has a black dog standing in the midst of an intersection. Due to a storm-related power outage, none of the street lights are functioning. When a car with two broken headlights approaches the dog, it turns away in time to miss him. How was the dog able to be seen by the driver in time?",It was during the daylight hours.,"The broken headlights can emit a small amount of light, even if it's dim. ",The driver could have relied on their sense of hearing to detect the presence of the dog.,None of above.,2,"['The driver could have relied on their sense of hearing to detect the presence of the dog.', ""The broken headlights can emit a small amount of light, even if it's dim. "", 'It was during the daylight hours.', 'None of above.']","[2, 1, 0, 3]"
29,SP-11_CR,"Within Joshua Tree National Park, a couple is driving. Because there is no light in the area to improve the view, the Joshua Tree National area is well known for its starry sky. The couple travels here for the first time, and the roads are rough. Their vehicle's headlights are damaged. How did they manage to prevent being crushed?",It was during the daylight hours.,The moonlight can provide additional visibility.,Their eyes have the ability to adapt to low-light conditions over time.,None of above.,1,"['The moonlight can provide additional visibility.', 'It was during the daylight hours.', 'Their eyes have the ability to adapt to low-light conditions over time.', 'None of above.']","[1, 0, 2, 3]"
30,SP-12,On a fine sunny day a ship was in the harbor. All of a sudden the ship began to sink. There was no storm and nothing wrong with the ship yet it sank right in front of the spectators eyes. What caused the ship to sink?,It was a Submarine.,There are too many spectators in the harbor.,There are too many fish around the ship.,None of above.,0,"['It was a Submarine.', 'There are too many fish around the ship.', 'There are too many spectators in the harbor.', 'None of above.']","[0, 2, 1, 3]"
31,SP-12_SR,The ship was in the harbor on a beautiful sunny day. The ship suddenly started to sink. The ship sank in front of the onlookers despite there being no storm or mechanical issue. What led to the ship's sinking?,It was a Submarine.,There are too many spectators in the harbor.,There are too many fish around the ship.,None of above.,2,"['There are too many fish around the ship.', 'There are too many spectators in the harbor.', 'It was a Submarine.', 'None of above.']","[2, 1, 0, 3]"
32,SP-12_CR,"The ship was in the central Pacific Ocean. The ship suddenly began to sink without being crushed. However, each team was still preoccupied with its own tasks, so none was threatening. Why?",It was a Submarine.,There are too many fish around the ship.,An underwater earthquake caused a rapid drop in the water level and resulted in the loss of buoyancy for the ship.,None of above.,1,"['An underwater earthquake caused a rapid drop in the water level and resulted in the loss of buoyancy for the ship.', 'It was a Submarine.', 'There are too many fish around the ship.', 'None of above.']","[2, 0, 1, 3]"
33,SP-13,"A man who lived on the top floor of a twenty story building had to go up and down daily for work, and of course, for food and the other necessities. On most days he could only ride the elevator to the fifteenth story, and he would have to walk the rest of the way. When it rained, however, he could ride all the way up to the twentieth story. Why?","The man wasn't tall enough to reach the button for the 20th floor. He could only reach the 15th story button on the elevator. When it rained, he brought his umbrella, and used it to press the 20th story button on the elevator.","The building had a system in place where, during rainy conditions, certain residents were granted exclusive access to the higher floors. ","During rainy weather, the elevator was programmed to automatically bypass certain floors above the fifteenth story. ",None of above.,2,"['During rainy weather, the elevator was programmed to automatically bypass certain floors above the fifteenth story. ', 'The building had a system in place where, during rainy conditions, certain residents were granted exclusive access to the higher floors. ', ""The man wasn't tall enough to reach the button for the 20th floor. He could only reach the 15th story button on the elevator. When it rained, he brought his umbrella, and used it to press the 20th story button on the elevator."", 'None of above.']","[2, 1, 0, 3]"
34,SP-13_SR,"A man who resided on the twenty-story building's top floor had to travel up and down each day for work, as well as for food and other requirements. He could only use the elevator up to the fifteenth story most days, after which he had to continue walking. However, he could ride all the way to the twentieth storey when it poured. Why?","The man wasn't tall enough to reach the button for the 20th floor. He could only reach the 15th story button on the elevator. When it rained, he brought his umbrella, and used it to press the 20th story button on the elevator.","The building had a system in place where, during rainy conditions, certain residents were granted exclusive access to the higher floors. ","During rainy weather, the elevator was programmed to automatically bypass certain floors above the fifteenth story. ",None of above.,1,"['During rainy weather, the elevator was programmed to automatically bypass certain floors above the fifteenth story. ', ""The man wasn't tall enough to reach the button for the 20th floor. He could only reach the 15th story button on the elevator. When it rained, he brought his umbrella, and used it to press the 20th story button on the elevator."", 'The building had a system in place where, during rainy conditions, certain residents were granted exclusive access to the higher floors. ', 'None of above.']","[2, 0, 1, 3]"
35,SP-13_CR,A man uses the elevator since he is too old to use his crutch to ascend to the 12th floor. He is asked to hit the 17th button by a woman who is taller than him because she is unable to do it herself. Why?,The old man can reach the button with the help of his crutch.,The old man was granted exclusive access to the higher floors.,The woman thinks pressing the 17th button in the elevator brings good luck or wards off bad luck.,None of above.,0,"['The old man can reach the button with the help of his crutch.', 'The old man was granted exclusive access to the higher floors.', 'The woman thinks pressing the 17th button in the elevator brings good luck or wards off bad luck.', 'None of above.']","[0, 1, 2, 3]"
36,SP-15,"Even if they are starving, natives living in the Arctic will never eat a penguin's egg. Why not?",Penguins only live in Antarctica.,Penguins' eggs are toxic.,Penguins and their eggs are not part of their traditional or cultural diet.,None of above.,0,"['Penguins only live in Antarctica.', ""Penguins' eggs are toxic."", 'Penguins and their eggs are not part of their traditional or cultural diet.', 'None of above.']","[0, 1, 2, 3]"
37,SP-15_SR,"Natives of the Arctic will never eat a penguin's egg, not even if they are starving. Exactly why not?",Penguins only live in Antarctica.,Penguins' eggs are toxic.,Penguins and their eggs are not part of their traditional or cultural diet.,None of above.,0,"['Penguins only live in Antarctica.', ""Penguins' eggs are toxic."", 'Penguins and their eggs are not part of their traditional or cultural diet.', 'None of above.']","[0, 1, 2, 3]"
38,SP-15_CR,"Even in the harshest of droughts, a man living in New York City would never drink from the Mississippi River. Why not?",The Mississippi River doesn't flow through New York City.,Mississippi river water are toxic.,Water from Mississippi river are not part of his traditional or cultural diet.,None of above.,1,"['Water from Mississippi river are not part of his traditional or cultural diet.', ""The Mississippi River doesn't flow through New York City."", 'Mississippi river water are toxic.', 'None of above.']","[2, 0, 1, 3]"
39,SP-17,"There once was an evil wizard. He took 3 woman from their homes and turned them into rose bushes that looked exactly alike. He put them in his garden. One of the woman had a husband and children and begged the wizard to let her see them. He agreed. At night, he brought the woman to her house. In the morning he came and took her home. One day the husband decided to go rescue her. So he stuck into the wizard's garden. He looked and looked at the 3 identical rose bushes trying to figure out which could be his wife. Suddenly, he knew the answer and he took his wife home. How did he know which rose bush was his wife?","The wizard brought the rosebush to her home at night and returned her to the garden in the morning. Therefore, she was the only plant without dew.",The husband knew which rose bush was his wife because it was the only one that still had her distinctive scent.,The husband knew which rose bush was his wife because it was the only one that leaned towards him as he approached,None of above.,1,"['The husband knew which rose bush was his wife because it was the only one that leaned towards him as he approached', 'The wizard brought the rosebush to her home at night and returned her to the garden in the morning. Therefore, she was the only plant without dew.', 'The husband knew which rose bush was his wife because it was the only one that still had her distinctive scent.', 'None of above.']","[2, 0, 1, 3]"
40,SP-17_SR,"There was once a bad wizard. He abducted three women from their homes and transformed them into identical rose plants. They were placed in his garden. One of the women pleaded with the magician to allow her to see her husband and kids. He concurred. He took the woman to her home at night. He arrived early in the morning and drove her home. The spouse made the decision to go get her one day. He entered the wizard's garden as a result. He kept glancing at the three identical rose bushes, trying to determine which one might be his wife. He took his wife home as soon as he realized the solution. How did he recognize his wife among the rosebushes?","The wizard brought the rosebush to her home at night and returned her to the garden in the morning. Therefore, she was the only plant without dew.",The husband knew which rose bush was his wife because it was the only one that still had her distinctive scent.,The husband knew which rose bush was his wife because it was the only one that leaned towards him as he approached,None of above.,1,"['The husband knew which rose bush was his wife because it was the only one that still had her distinctive scent.', 'The wizard brought the rosebush to her home at night and returned her to the garden in the morning. Therefore, she was the only plant without dew.', 'The husband knew which rose bush was his wife because it was the only one that leaned towards him as he approached', 'None of above.']","[1, 0, 2, 3]"
41,SP-17_CR,"Several harvested radishes were once stolen from a neighbor by a slothful farmer. The radishes were missing, so his neighbor reported it to the police. The farmer told the authorities that the radishes came from his own farm this morning. Even though he planted radishes on his own farm, he was nonetheless detained by the police anyway. How?","There are no dew on the raddishes, so they were not harvested from his own farm on the morning.",Radishes don't grow during the current season.,The farmer's farm did not have suitable conditions for growing radishes.,None of above.,1,"[""The farmer's farm did not have suitable conditions for growing radishes."", 'There are no dew on the raddishes, so they were not harvested from his own farm on the morning.', ""Radishes don't grow during the current season."", 'None of above.']","[2, 0, 1, 3]"
42,SP-18,There are 3 apples for 2 sons and 2 fathers to eat. Each of them get their own apple. How is it numerically possible?,"They are one son, one father and one grandfather.",Two sons shared the same apple.,One father gave his apple to his son.,None of above.,1,"['Two sons shared the same apple.', 'They are one son, one father and one grandfather.', 'One father gave his apple to his son.', 'None of above.']","[1, 0, 2, 3]"
43,SP-18_SR,There are 3 apples available for 2 fathers and 2 boys to consume. They each receive a single apple. How is it a mathematical possibility?,"They are one son, one father and one grandfather.",Two sons shared the same apple.,One father gave his apple to his son.,None of above.,2,"['Two sons shared the same apple.', 'One father gave his apple to his son.', 'They are one son, one father and one grandfather.', 'None of above.']","[1, 2, 0, 3]"
44,SP-18_CR,"Two mothers and two daughters were asking for new state IDs, but the agent only gave out three forms and instructed them on how to fill them out. Why?","They are one daughters, one mother and one grandmother.",Two girls filled the from together.,One mother is too old to apply for new IDs.,None of above.,0,"['They are one daughters, one mother and one grandmother.', 'Two girls filled the from together.', 'One mother is too old to apply for new IDs.', 'None of above.']","[0, 1, 2, 3]"
45,SP-20,"A man moved into a new house and decided he was tired after the journey and turned off all the lights and went to bed. The next morning he killed 365 people, he does not sleep walk he slept like a baby. How could this be?",He lived in a light house.,The man is a world-renowned botanist who has just moved into a new house with a rare greenhouse containing 365 unique and endangered plant species.,"The man could be a calendar maker. He accidentally excluding February 29th on a leap year's calendar before sleep. This ""killed"" the day for 365 people.",None of above.,2,"['The man could be a calendar maker. He accidentally excluding February 29th on a leap year\'s calendar before sleep. This ""killed"" the day for 365 people.', 'The man is a world-renowned botanist who has just moved into a new house with a rare greenhouse containing 365 unique and endangered plant species.', 'He lived in a light house.', 'None of above.']","[2, 1, 0, 3]"
46,SP-20_SR,"After moving into a new home, a man decided that he was exhausted from the trip and turned out all the lights before retiring to bed. He did not sleepwalk the night before he killed 365 people; instead, he slept soundly. How is this possible?",He lived in a light house.,The man is a world-renowned botanist who has just moved into a new house with a rare greenhouse containing 365 unique and endangered plant species.,"The man could be a calendar maker. He accidentally excluding February 29th on a leap year's calendar. This ""killed"" the day for 365 people.",None of above.,0,"['He lived in a light house.', 'The man is a world-renowned botanist who has just moved into a new house with a rare greenhouse containing 365 unique and endangered plant species.', 'The man could be a calendar maker. He accidentally excluding February 29th on a leap year\'s calendar. This ""killed"" the day for 365 people.', 'None of above.']","[0, 1, 2, 3]"
47,SP-20_CR,"Every night, a man would sleep with a light on, as bright as the sun, dazzling the neighbors. But why did his neighbors never complain?",He lived in a light house.,All his neighbors are blind.,The man would wake up early.,None of above.,2,"['All his neighbors are blind.', 'The man would wake up early.', 'He lived in a light house.', 'None of above.']","[1, 2, 0, 3]"
48,SP-21,"Joe and Sally were sitting in their family room one night. While Joe was watching T.V, his wife Sally was reading. All of a sudden the power went out and Joe decided to go to bed, but Sally kept on reading. With no use of artificial light, Sally kept on reading. How?","Sally was blind, she was reading a book by Braille.",Sally is smart that she pretended to reading the book.,Because it was daytime.,None of above.,1,"['Sally is smart that she pretended to reading the book.', 'Sally was blind, she was reading a book by Braille.', 'Because it was daytime.', 'None of above.']","[1, 0, 2, 3]"
49,SP-21_SR,"One evening, Joe and Sally were relaxing in their family room. Sally, Joe's wife, was reading while he was watching television. The moment the electricity went out, Joe made the decision to retire to bed, but Sally continued to read. Sally carried on reading without using any artificial lighting. How?","Sally was blind, she was reading a book by Braille.",Sally is smart that she pretended to reading the book.,Because it was daytime.,None of above.,1,"['Because it was daytime.', 'Sally was blind, she was reading a book by Braille.', 'Sally is smart that she pretended to reading the book.', 'None of above.']","[2, 0, 1, 3]"
50,SP-21_CR,"Jessica will read the Bible every night before bed. Jessica had forgotten to buy candles for a backup one day when the electricity went out, but she still read a chapter before turning in. How is that even doable?","Sally was blind, she was reading a book by Braille.",Sally is smart that she remembered all chapters in Bible.,Because it was daytime.,None of above.,2,"['Sally is smart that she remembered all chapters in Bible.', 'Because it was daytime.', 'Sally was blind, she was reading a book by Braille.', 'None of above.']","[1, 2, 0, 3]"
51,SP-22,Two men were playing tennis. They played five sets and each man won three sets. How can this be possible?,The two men were partners playing doubles.,"They followed a round-robin format, where each player competes against every other player in the tournament.",They were playing tennis in turns.,None of above.,0,"['The two men were partners playing doubles.', 'They were playing tennis in turns.', 'They followed a round-robin format, where each player competes against every other player in the tournament.', 'None of above.']","[0, 2, 1, 3]"
52,SP-22_SR,The tennis match involved two men. Each man won three sets in the five that were played. How is this even conceivable?,The two men were partners playing doubles.,"They followed a round-robin format, where each player competes against every other player in the tournament.",TUmNioAvy4g4yjtpm7NddBi9chAAB9RUep,None of above.,0,"['The two men were partners playing doubles.', 'TUmNioAvy4g4yjtpm7NddBi9chAAB9RUep', 'They followed a round-robin format, where each player competes against every other player in the tournament.', 'None of above.']","[0, 2, 1, 3]"
53,SP-22_CR,Four people sat down to play a board game. They played four rounds and each person won twice. How can this be possible?,The four people were playing in two teams of two each. Each team won twice.,The board game takes a long time to end.,Some rounds ended in ties or draws.,None of above.,0,"['The four people were playing in two teams of two each. Each team won twice.', 'Some rounds ended in ties or draws.', 'The board game takes a long time to end.', 'None of above.']","[0, 2, 1, 3]"
54,SP-23,"A simple peasant bought a number of camels and is taking them to his farm. As he rides contentedly along he counts them - he counts 29. He was sure he had bought 30 camel, so in alarm he jumps off his camel and counts the camels again. To his delight there are 30. Half an hour later, he counts his camels and once more there are just 29. Confused, he climbs off his camel and counts again. Once more there are 30. Can you explain?",When he is on the camel he omits to count it.,One camel had moved away from the group when the peasant was counting.,The peasant is mistakenly considering himself as one of the camels when he counts them.,None of above.,2,"['One camel had moved away from the group when the peasant was counting.', 'The peasant is mistakenly considering himself as one of the camels when he counts them.', 'When he is on the camel he omits to count it.', 'None of above.']","[1, 2, 0, 3]"
55,SP-23_SR,"A common peasant recently purchased many camels and is transporting them to his land. He counts them as he travels happily and finds that there are 29 of them. He leaps off his camel in fright after thinking he had purchased 30 camels and counts them once more. He is delighted to find 30. He counts his camels again thirty minutes later, and this time there are only 29. He dismounts his camel in confusion and counts once more. There are 30 once more. Can you elaborate?",When he is on the camel he omits to count it.,One camel had moved away from the group when the peasant was counting.,The peasant is mistakenly considering himself as one of the camels when he counts them.,None of above.,2,"['One camel had moved away from the group when the peasant was counting.', 'The peasant is mistakenly considering himself as one of the camels when he counts them.', 'When he is on the camel he omits to count it.', 'None of above.']","[1, 2, 0, 3]"
56,SP-23_CR,"Each of the 30 participants in the masquerade had to wear a unique hat to distinguish themselves from one another. The host, however, only tallied 29 when he counted the number of hats to determine attendance. All 30 persons had signed their names on the spreadsheet, which confused him. He repeated the count. There are still 29. How is that even doable?",The host had a hat himself and he forget to count it.,One person had moved away from the group when the host was counting.,One person had a pretty beautiful hat. ,None of above.,1,"['One person had a pretty beautiful hat. ', 'The host had a hat himself and he forget to count it.', 'One person had moved away from the group when the host was counting.', 'None of above.']","[2, 0, 1, 3]"
57,SP-24,One day a little boy named John went over to his parents and said that he wanted to shoot people and blow them up. His parents were really proud of his career choice. keep in mind that his parents were not very violent people. Why?,John wanted to be a photographer.,The parents known John was kiding and didn't pay attention.,John wants to be a video game designer  and his parent are addicted to vedio gams.,None of above.,0,"['John wanted to be a photographer.', 'John wants to be a video game designer  and his parent are addicted to vedio gams.', ""The parents known John was kiding and didn't pay attention."", 'None of above.']","[0, 2, 1, 3]"
58,SP-24_SR,"When John, a young child, told his parents he intended to shoot and blow up people, they were shocked. His parents were really happy with his professional decision. Remember, his parents weren't exactly aggressive folks. Why?",John wanted to be a photographer.,The parents known John was kiding and didn't pay attention.,John wants to be a video game designer  and his parent are addicted to vedio gams.,None of above.,2,"['John wants to be a video game designer  and his parent are addicted to vedio gams.', ""The parents known John was kiding and didn't pay attention."", 'John wanted to be a photographer.', 'None of above.']","[2, 1, 0, 3]"
