,id,question,answer,distractor1,distractor2,distractor(unsure),label,choice_list,choice_order
13,WP-5_SR,"In the center of gravity, what can you find?",The letter V.,The letter G.,The letter Y.,None of above.,0,"['The letter V.', 'The letter Y.', 'The letter G.', 'None of above.']","[0, 2, 1, 3]"
14,WP-5_CR,"In the center of proverb, what can you find?",The letter V.,The letter P.,The letter B.,None of above.,1,"['The letter B.', 'The letter V.', 'The letter P.', 'None of above.']","[2, 0, 1, 3]"
15,WP-6,"What is in seasons, seconds, centuries and minutes but not in decades, years or days?",The letter N.,The letter D.,The letter A.,None of above.,2,"['The letter A.', 'The letter D.', 'The letter N.', 'None of above.']","[2, 1, 0, 3]"
16,WP-6_SR,"What is present in seasons, seconds, centuries, and minutes yet do not exist in decades, years, or days?",The letter N.,The letter D.,The letter A.,None of above.,1,"['The letter A.', 'The letter N.', 'The letter D.', 'None of above.']","[2, 0, 1, 3]"
17,WP-6_CR," What is found in Saturdays, Sundays, and Tuesday, but not in Mondays, Wednesdays or Fridays?",The letter U.,The letter N.,The letter A.,None of above.,2,"['The letter N.', 'The letter A.', 'The letter U.', 'None of above.']","[1, 2, 0, 3]"
18,WP-7,How many seconds are there in one year?,"12 of them: January 2nd, February 2nd, March 2nd, April 2nd, May 2nd, June 2nd, July 2nd, August 2nd, September 2nd, October 2nd, November 2nd, December 2nd.",One thousands.,Six.,None of above.,1,"['One thousands.', '12 of them: January 2nd, February 2nd, March 2nd, April 2nd, May 2nd, June 2nd, July 2nd, August 2nd, September 2nd, October 2nd, November 2nd, December 2nd.', 'Six.', 'None of above.']","[1, 0, 2, 3]"
19,WP-7_SR,"In a year, how many seconds are there?","12 of them: January 2nd, February 2nd, March 2nd, April 2nd, May 2nd, June 2nd, July 2nd, August 2nd, September 2nd, October 2nd, November 2nd, December 2nd.",One.,Six.,None of above.,1,"['Six.', '12 of them: January 2nd, February 2nd, March 2nd, April 2nd, May 2nd, June 2nd, July 2nd, August 2nd, September 2nd, October 2nd, November 2nd, December 2nd.', 'One.', 'None of above.']","[2, 0, 1, 3]"
20,WP-7_CR,How many days are there in a month?,"7 of them: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",30.0,28.0,None of above.,0,"['7 of them: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday', '28.0', '30.0', 'None of above.']","[0, 2, 1, 3]"
21,WP-8,What arithmetic symbol can we place between 2 and 3 to make a number greater than 2 but less than 3?,A decimal point.,A division sign.,A plus sign.,None of above.,1,"['A plus sign.', 'A decimal point.', 'A division sign.', 'None of above.']","[2, 0, 1, 3]"
22,WP-8_SR,What mathematical symbol can we use to create a number greater than 2 but less than 3 between the numbers 2 and 3?,A decimal point.,A division sign.,A plus sign.,None of above.,1,"['A division sign.', 'A decimal point.', 'A plus sign.', 'None of above.']","[1, 0, 2, 3]"
23,WP-8_CR,What mathematical symbol can we use to create a number greater than 2 but less than 3 between the numbers 3 and 2?,A square root.,A division sign.,A minus sign.,None of above.,0,"['A square root.', 'A division sign.', 'A minus sign.', 'None of above.']","[0, 1, 2, 3]"
24,WP-9,Do you know anything that has four eyes?,Mississippi.,Florida.,California.,None of above.,0,"['Mississippi.', 'California.', 'Florida.', 'None of above.']","[0, 2, 1, 3]"
25,WP-9_SR,Are there any four-eyes thing you are aware of?,Mississippi.,Florida.,California.,None of above.,2,"['California.', 'Florida.', 'Mississippi.', 'None of above.']","[2, 1, 0, 3]"
26,WP-9_CR,What letter is a part of the head?,The letter I.,The letter R.,The letter M.,None of above.,1,"['The letter R.', 'The letter I.', 'The letter M.', 'None of above.']","[1, 0, 2, 3]"
27,WP-10,"How can you spell ""enemy"" in three letters?",F O E.,E N M.,N M Y.,None of above.,0,"['F O E.', 'E N M.', 'N M Y.', 'None of above.']","[0, 1, 2, 3]"
28,WP-10_SR,"In three letters, how do you spell ""enemy""?",F O E.,E N M.,E N Y.,None of above.,2,"['E N M.', 'E N Y.', 'F O E.', 'None of above.']","[1, 2, 0, 3]"
29,WP-10_CR,"In three letters, how do you spell ""laughter""?",F U N.,L A T.,L T R.,None of above.,1,"['L T R.', 'F U N.', 'L A T.', 'None of above.']","[2, 0, 1, 3]"
30,WP-11,"Ben walked into a hardware store and asked the price of some items. The salesman said: One costs $1, Eight costs $1, Seventeen cost $2, One hundred four costs $3 and One thousand seventy two costs $4. What was Ben buying?",Ben was buying home address numbers and they cost $1 per digit.,Ben is buying English word cards. The price is determined by the number of vowels in the spelled-out number.,Ben is buying English word cards. The price is determined by the number of letters in the spelled-out number.,None of above.,2,"['Ben is buying English word cards. The price is determined by the number of letters in the spelled-out number.', 'Ben is buying English word cards. The price is determined by the number of vowels in the spelled-out number.', 'Ben was buying home address numbers and they cost $1 per digit.', 'None of above.']","[2, 1, 0, 3]"
31,WP-11_SR,"Ben entered a hardware store and inquired about the cost of several items. One costs $1, Eight costs $1, Seventeen costs $2, One Hundred Four costs $3, and One Thousand Seven Hundred Twenty-two costs $4, the salesman declared. What did Ben purchase?",Ben was buying home address numbers and they cost $1 per digit.,Ben is buying English word cards. The price is determined by the number of vowels in the spelled-out number.,Ben is buying English word cards. The price is determined by the number of letters in the spelled-out number.,None of above.,1,"['Ben is buying English word cards. The price is determined by the number of vowels in the spelled-out number.', 'Ben was buying home address numbers and they cost $1 per digit.', 'Ben is buying English word cards. The price is determined by the number of letters in the spelled-out number.', 'None of above.']","[1, 0, 2, 3]"
32,WP-11_CR,"Jill entered a hardware store and inquired about the cost of several items. The store owner told her: One costs $2, Ten costs $2, Twenty-one costs $4, Two hundred seventeen costs $6, and Three thousand one hundred four costs $8. What was Jill purchasing?",Jill was purchasing sticky price tags for her garage sale. Each digit on the price tag costs $2.,Ben is buying English word cards. The price is determined by the number of vowels in the spelled-out number.,Ben is buying English word cards. The price is determined by the number of letters in the spelled-out number.,None of above.,2,"['Ben is buying English word cards. The price is determined by the number of vowels in the spelled-out number.', 'Ben is buying English word cards. The price is determined by the number of letters in the spelled-out number.', 'Jill was purchasing sticky price tags for her garage sale. Each digit on the price tag costs $2.', 'None of above.']","[1, 2, 0, 3]"
33,WP-12,What liquid is represented by 'hijklmno'?,"Water. Hijklmno is ""H to O"" in the alphabet. Water is H20.","Milk. ""H L M N O"" is similar as the nursery rhyme ""High low，maids in a row"", which commonly associated with milking cows. ","Oil, if we rearrange the letters, they form the word ""oil"". ",None of above.,1,"['Oil, if we rearrange the letters, they form the word ""oil"". ', 'Water. Hijklmno is ""H to O"" in the alphabet. Water is H20.', 'Milk. ""H L M N O"" is similar as the nursery rhyme ""High low，maids in a row"", which commonly associated with milking cows. ', 'None of above.']","[2, 0, 1, 3]"
34,WP-12_SR,hijklmno' stands for what liquid?,"Water. Hijklmno is ""H to O"" in the alphabet. Water is H20.","Milk. ""H L M N O"" is similar as the nursery rhyme ""High low，maids in a row"", which commonly associated with milking cows. ","Oil, if we rearrange the letters, they form the word ""oil"". ",None of above.,2,"['Milk. ""H L M N O"" is similar as the nursery rhyme ""High low，maids in a row"", which commonly associated with milking cows. ', 'Oil, if we rearrange the letters, they form the word ""oil"". ', 'Water. Hijklmno is ""H to O"" in the alphabet. Water is H20.', 'None of above.']","[1, 2, 0, 3]"
35,WP-12_CR,acdfgnijkmn' stands for what award?,"Nobel. ""Acdfgnijkmn"" is 'no B E L"" in the alphabet, which combine to nobel. ","Grammy. The beginning of ""Acdfgnijkmn"" is similar to ""a gram"".","Oscar. ""Acdfgnijkmn"" is ""A to N"" in the alphabet, skipping every other letter. The pattern of skipping can be seen as an abstract representation of how the Oscars are not awarded to every movie, but only to select ones. ",None of above.,0,"['Nobel. ""Acdfgnijkmn"" is \'no B E L"" in the alphabet, which combine to nobel. ', 'Grammy. The beginning of ""Acdfgnijkmn"" is similar to ""a gram"".', 'Oscar. ""Acdfgnijkmn"" is ""A to N"" in the alphabet, skipping every other letter. The pattern of skipping can be seen as an abstract representation of how the Oscars are not awarded to every movie, but only to select ones. ', 'None of above.']","[0, 1, 2, 3]"
36,WP-13,How can you say rabbit without using the letter R?,Bunny.,Abbit.,White-animal with long things on head.,None of above.,1,"['Abbit.', 'Bunny.', 'White-animal with long things on head.', 'None of above.']","[1, 0, 2, 3]"
37,WP-13_SR,"Without an R, how do you say ""rabbit""?",Bunny.,Abbit.,White-animal with long things on head.,None of above.,1,"['Abbit.', 'Bunny.', 'White-animal with long things on head.', 'None of above.']","[1, 0, 2, 3]"
38,WP-13_CR,"Without an L, how do you say ""smile""?",Grin.,Smie.,Open you mouse and show your teeth.,None of above.,2,"['Open you mouse and show your teeth.', 'Smie.', 'Grin.', 'None of above.']","[2, 1, 0, 3]"
39,WP-14,Which word in the English language becomes shorter when it is lengthened?,Short.,Truncation.,Abbreviation.,None of above.,2,"['Abbreviation.', 'Truncation.', 'Short.', 'None of above.']","[2, 1, 0, 3]"
40,WP-14_SR,"When a word is lengthened, which one in English gets shorter?",Short.,Truncation.,Abbreviation.,None of above.,2,"['Abbreviation.', 'Truncation.', 'Short.', 'None of above.']","[2, 1, 0, 3]"
41,WP-14_CR,"When a word is lengthened, which one in English gets smaller?",Small.,Truncation.,Abbreviation.,None of above.,2,"['Abbreviation.', 'Truncation.', 'Small.', 'None of above.']","[2, 1, 0, 3]"
42,WP-16,"What dress does everyone have, but no one wears?",Address.,Suit.,Wedding dress.,None of above.,1,"['Suit.', 'Address.', 'Wedding dress.', 'None of above.']","[1, 0, 2, 3]"
43,WP-16_SR,What type of dress does everyone own but never wear?,Address.,Suit.,Wedding dress.,None of above.,0,"['Address.', 'Suit.', 'Wedding dress.', 'None of above.']","[0, 1, 2, 3]"
44,WP-16_CR,What type of ring does everyone own but never wear?,Spring.,Antique ring.,Wedding ring.,None of above.,0,"['Spring.', 'Antique ring.', 'Wedding ring.', 'None of above.']","[0, 1, 2, 3]"
45,WP-17,What letters of the alphabet come too late for supper?,Those that come after T.,Those that at the end of alphabet.,Those that at the middle of alphabet.,None of above.,0,"['Those that come after T.', 'Those that at the end of alphabet.', 'Those that at the middle of alphabet.', 'None of above.']","[0, 1, 2, 3]"
46,WP-17_SR,What alphabet letters arrive after suppertime?,Those that come after T.,Those that at the end of alphabet.,Those that at the middle of alphabet.,None of above.,2,"['Those that at the end of alphabet.', 'Those that at the middle of alphabet.', 'Those that come after T.', 'None of above.']","[1, 2, 0, 3]"
47,WP-17_CR,What alphabet letter always appear around flowers?,The letter B.,The letter F.,The letter R.,None of above.,2,"['The letter F.', 'The letter R.', 'The letter B.', 'None of above.']","[1, 2, 0, 3]"
48,WP-18,What changes a pear into a pearl in a second?,The letter L.,High pressure and heat.,The process of biomineralization in some oysters.,None of above.,1,"['High pressure and heat.', 'The letter L.', 'The process of biomineralization in some oysters.', 'None of above.']","[1, 0, 2, 3]"
49,WP-18_SR,How does a pear become a pearl suddenly?,The letter L.,High pressure and heat.,The process of biomineralization in some oysters.,None of above.,0,"['The letter L.', 'The process of biomineralization in some oysters.', 'High pressure and heat.', 'None of above.']","[0, 2, 1, 3]"
50,WP-18_CR,What can change a pot into a poet in a moment?,The letters E.,A person is cooking with pot while they are in the midst of their culinary creation.,The significance and carries a rich history or narrative within the pot.,None of above.,0,"['The letters E.', 'A person is cooking with pot while they are in the midst of their culinary creation.', 'The significance and carries a rich history or narrative within the pot.', 'None of above.']","[0, 1, 2, 3]"
51,WP-20,Is an old hundred dollar bill better than a new one?,"Yes, it's worth 99 more dollars.","No, the new one is more acceptable to public.","No, the value of a dollar bill, whether it is old or new, remains the same. ",None of above.,1,"['No, the new one is more acceptable to public.', ""Yes, it's worth 99 more dollars."", 'No, the value of a dollar bill, whether it is old or new, remains the same. ', 'None of above.']","[1, 0, 2, 3]"
52,WP-20_SR,Is a used one hundred bill preferable than a new one?,"Yes, it's worth 99 more dollars.","No, the new one is more acceptable to public.","No, the value of a dollar bill, whether it is old or new, remains the same. ",None of above.,0,"[""Yes, it's worth 99 more dollars."", 'No, the new one is more acceptable to public.', 'No, the value of a dollar bill, whether it is old or new, remains the same. ', 'None of above.']","[0, 1, 2, 3]"
53,WP-20_CR,Will all merchant prefer an used one hundred bill rather than a new one?,"Yes, it's worth 99 more dollars.","No, the new one is more acceptable to public.","No, the value of a dollar bill, whether it is old or new, remains the same. ",None of above.,2,"['No, the value of a dollar bill, whether it is old or new, remains the same. ', 'No, the new one is more acceptable to public.', ""Yes, it's worth 99 more dollars."", 'None of above.']","[2, 1, 0, 3]"
54,WP-21,What is in front of a woman and at the end of a cow?,The letter W.,The letter O.,The letter N.,None of above.,1,"['The letter O.', 'The letter W.', 'The letter N.', 'None of above.']","[1, 0, 2, 3]"
55,WP-21_SR,What is at the end of a cow and in front of a woman?,The letter W.,The letter O.,The letter N.,None of above.,2,"['The letter O.', 'The letter N.', 'The letter W.', 'None of above.']","[1, 2, 0, 3]"
56,WP-21_CR,What is at the beginning of eternity and the end of time?,The letter E.,The letter T.,The letter I.,None of above.,1,"['The letter I.', 'The letter E.', 'The letter T.', 'None of above.']","[2, 0, 1, 3]"
57,WP-22,How can you eat and study at the same time?,Eat alphabet soup.,Eat tomato soup.,Eat minestrone soup.,None of above.,0,"['Eat alphabet soup.', 'Eat minestrone soup.', 'Eat tomato soup.', 'None of above.']","[0, 2, 1, 3]"
58,WP-22_SR,How is it possible to eat while studying?,Eat alphabet soup.,Eat tomato soup.,Eat minestrone soup.,None of above.,1,"['Eat tomato soup.', 'Eat alphabet soup.', 'Eat minestrone soup.', 'None of above.']","[1, 0, 2, 3]"
59,WP-22_CR,Which city is based on studying?,Alphabet city.,Music city.,Windy city.,None of above.,0,"['Alphabet city.', 'Music city.', 'Windy city.', 'None of above.']","[0, 1, 2, 3]"
60,WP-23,What does a stone become when in the water?,A whetstone.,A limestone,A sandstone.,None of above.,0,"['A whetstone.', 'A limestone', 'A sandstone.', 'None of above.']","[0, 1, 2, 3]"
61,WP-23_SR,What changes a stone makes when submerged in water?,A whetstone.,A limestone,A sandstone.,None of above.,0,"['A whetstone.', 'A sandstone.', 'A limestone', 'None of above.']","[0, 2, 1, 3]"
62,WP-23_CR,What does a land become when it is raining.,Wetland.,Lowland.,Woodland.,None of above.,2,"['Lowland.', 'Woodland.', 'Wetland.', 'None of above.']","[1, 2, 0, 3]"
63,WP-24,What kind of sandwich sinks to the bottom of the tub?,A submarine sandwich.,A reuben sandwich.,A cheesesteak sandwich.,None of above.,1,"['A cheesesteak sandwich.', 'A submarine sandwich.', 'A reuben sandwich.', 'None of above.']","[2, 0, 1, 3]"
64,WP-24_SR,What sort of sandwich does the bathtub sink to the bottom?,A submarine sandwich.,A reuben sandwich.,A cheesesteak sandwich.,None of above.,0,"['A submarine sandwich.', 'A reuben sandwich.', 'A cheesesteak sandwich.', 'None of above.']","[0, 1, 2, 3]"
65,WP-24_CR,What type of ship is found beneath the ice in the freezer?,An icebreaker ship.,An lightship.,A cargo ship.,None of above.,2,"['An lightship.', 'A cargo ship.', 'An icebreaker ship.', 'None of above.']","[1, 2, 0, 3]"
66,WP-25,What kind of nut has no shell?,A Doughnut.,A walnut.,A peanut.,None of above.,1,"['A peanut.', 'A Doughnut.', 'A walnut.', 'None of above.']","[2, 0, 1, 3]"
67,WP-25_SR,Which nut doesn't have a shell?,A Doughnut.,A walnut.,A peanut.,None of above.,0,"['A Doughnut.', 'A walnut.', 'A peanut.', 'None of above.']","[0, 1, 2, 3]"
68,WP-25_CR,"Which type of bell doesn't make a sound?

",A Bluebell.,A fire bell.,A cow bell.,None of above.,2,"['A fire bell.', 'A cow bell.', 'A Bluebell.', 'None of above.']","[1, 2, 0, 3]"
69,WP-27,What part of London is in France?,The letter N.,The letter O.,The letter L.,None of above.,1,"['The letter O.', 'The letter N.', 'The letter L.', 'None of above.']","[1, 0, 2, 3]"
70,WP-27_SR,Which area of London borders France?,The letter N.,The letter O.,The letter L.,None of above.,2,"['The letter O.', 'The letter L.', 'The letter N.', 'None of above.']","[1, 2, 0, 3]"
71,WP-27_CR,What part of Korea is in China?,The letter A.,The letter E.,The letter R.,None of above.,0,"['The letter A.', 'The letter R.', 'The letter E.', 'None of above.']","[0, 2, 1, 3]"
72,WP-28,What kind of ant has a long history?,An antique.,A queen ant.,A worker ant(ergate).,None of above.,0,"['An antique.', 'A worker ant(ergate).', 'A queen ant.', 'None of above.']","[0, 2, 1, 3]"
73,WP-28_SR,What do you name an ant has a long history?,An antique.,A queen ant.,A worker ant(ergate).,None of above.,1,"['A worker ant(ergate).', 'An antique.', 'A queen ant.', 'None of above.']","[2, 0, 1, 3]"
74,WP-28_CR,What type of fish is often found in banking?,A Loan Shark.,A bottom lurker.,A tuna.,None of above.,1,"['A tuna.', 'A Loan Shark.', 'A bottom lurker.', 'None of above.']","[2, 0, 1, 3]"
75,WP-29,What do mathematics teachers like to eat?,Pie.,Hot dog.,Hamburger.,None of above.,1,"['Hot dog.', 'Pie.', 'Hamburger.', 'None of above.']","[1, 0, 2, 3]"
76,WP-29_SR,What foods do math teachers enjoy eating?,Pie.,Hot dog.,Hamburger.,None of above.,0,"['Pie.', 'Hot dog.', 'Hamburger.', 'None of above.']","[0, 1, 2, 3]"
77,WP-29_CR,What kind of soup do English soup enjoy?,Alphabet soup.,Tomato soup.,Minestrone soup.,None of above.,1,"['Minestrone soup.', 'Alphabet soup.', 'Tomato soup.', 'None of above.']","[2, 0, 1, 3]"
78,WP-31,What bird is very rude?,Mocking bird.,Eagle.,Humming bird.,None of above.,2,"['Humming bird.', 'Eagle.', 'Mocking bird.', 'None of above.']","[2, 1, 0, 3]"
79,WP-31_SR,Which bird is the rudest?,Mocking bird.,Eagle.,Humming bird.,None of above.,2,"['Humming bird.', 'Eagle.', 'Mocking bird.', 'None of above.']","[2, 1, 0, 3]"
80,WP-31_CR,Which bird swim fast in the sea?,Finches.,Eagle.,Dove.,None of above.,2,"['Dove.', 'Eagle.', 'Finches.', 'None of above.']","[2, 1, 0, 3]"
81,WP-33,What do you call peas which are crazy?,Peanuts.,Soybean.,Chickpea.,None of above.,0,"['Peanuts.', 'Soybean.', 'Chickpea.', 'None of above.']","[0, 1, 2, 3]"
82,WP-33_SR,How do you describe wild peas?,Peanuts.,Soybean.,Chickpea.,None of above.,0,"['Peanuts.', 'Chickpea.', 'Soybean.', 'None of above.']","[0, 2, 1, 3]"
83,WP-33_CR,What do you call earth when it get crazy.,Earthnuts.,Earthquake.,Planet.,None of above.,1,"['Planet.', 'Earthnuts.', 'Earthquake.', 'None of above.']","[2, 0, 1, 3]"
84,WP-34,Which side of the turkey has the most feathers?,The outside.,The leftside.,The rightside.,None of above.,1,"['The rightside.', 'The outside.', 'The leftside.', 'None of above.']","[2, 0, 1, 3]"
85,WP-34_SR,What is the most feathered side of the turkey?,The outside.,The leftside.,The rightside.,None of above.,1,"['The leftside.', 'The outside.', 'The rightside.', 'None of above.']","[1, 0, 2, 3]"
86,WP-34_CR,What is the most green side of the house?,The outside.,The leftside.,The rightside.,None of above.,0,"['The outside.', 'The rightside.', 'The leftside.', 'None of above.']","[0, 2, 1, 3]"
87,WP-35,"What's 3/7 chicken, 2/3 cat, and 2/4 goat?",Chicago.,California.,Texas.,None of above.,1,"['Texas.', 'Chicago.', 'California.', 'None of above.']","[2, 0, 1, 3]"
88,WP-35_SR,"What is the sum of 3/7 chicken, 2/3 cat, and 2/4 goat?",Chicago.,California.,Texas.,None of above.,1,"['California.', 'Chicago.', 'Texas.', 'None of above.']","[1, 0, 2, 3]"
89,WP-35_CR,"What is the sum of 3/6 monkey, 3/4 tree, and 2/7 alcohol?",Montreal.,California.,Texas.,None of above.,0,"['Montreal.', 'California.', 'Texas.', 'None of above.']","[0, 1, 2, 3]"
90,WP-38,What word contains all of the twenty six letters?,Alphabet.,Academic.,Abcdefghijklmnopqrstuvwxyz.,None of above.,1,"['Academic.', 'Alphabet.', 'Abcdefghijklmnopqrstuvwxyz.', 'None of above.']","[1, 0, 2, 3]"
91,WP-38_SR,Which word has all twenty-six letters?,Alphabet.,Academic.,Abcdefghijklmnopqrstuvwxyz.,None of above.,0,"['Alphabet.', 'Academic.', 'Abcdefghijklmnopqrstuvwxyz.', 'None of above.']","[0, 1, 2, 3]"
92,WP-38_CR,Which word contain all letters but its length is less than twenty-six.,Alphabet.,Academic.,Abcdefghijklmnopqrstuvwxyz.,None of above.,1,"['Academic.', 'Alphabet.', 'Abcdefghijklmnopqrstuvwxyz.', 'None of above.']","[1, 0, 2, 3]"
93,WP-39,What three letters change a girl into a woman?,"Remove G,I and R and add A,D and Y.","Add N,O and T at beginning.","Add B,O and Y at beginning.",None of above.,0,"['Remove G,I and R and add A,D and Y.', 'Add N,O and T at beginning.', 'Add B,O and Y at beginning.', 'None of above.']","[0, 1, 2, 3]"
94,WP-39_SR,What three letters cause a girl to become a woman?,"Remove G,I and R and add A,D and Y.","Add N,O and T at beginning.","Add B,O and Y at beginning.",None of above.,1,"['Add B,O and Y at beginning.', 'Remove G,I and R and add A,D and Y.', 'Add N,O and T at beginning.', 'None of above.']","[2, 0, 1, 3]"
95,WP-39_CR,What three letters cause a man to become female?,"Remove the end N and add A,D and M.","Add H,E and R at beginning.",ADD F E M at beginning.,None of above.,1,"['Add H,E and R at beginning.', 'Remove the end N and add A,D and M.', 'ADD F E M at beginning.', 'None of above.']","[1, 0, 2, 3]"
96,WP-40,David is 5 years old. Fred is 4 years old. Ilina is also 5 years old. Daniel is 6 years old. Valentina is 9. How old is Ronnie?,Ronnie is 6.,Ronnie is 5.,Ronnie is 4.,None of above.,2,"['Ronnie is 4.', 'Ronnie is 5.', 'Ronnie is 6.', 'None of above.']","[2, 1, 0, 3]"
97,WP-40_SR,"David is a five-year-old boy. Fred is a four-year-old boy. Ilina is five years old as well. Daniel is a six-year-old boy. Valentina is nine years old. Ronnie, how old are you?",Ronnie is 6.,Ronnie is 5.,Ronnie is 4.,None of above.,0,"['Ronnie is 6.', 'Ronnie is 5.', 'Ronnie is 4.', 'None of above.']","[0, 1, 2, 3]"
98,WP-40_CR,"David is a five-year-old boy. Fred is a four-year-old boy. Ilina is five years old as well. Daniel is a six-year-old boy. Valentina is nine years old. Jennifer, how old are you?",Jennifer is seven year old..,Jennifer is six year old.,Jennifer is five year old.,None of above.,1,"['Jennifer is six year old.', 'Jennifer is seven year old..', 'Jennifer is five year old.', 'None of above.']","[1, 0, 2, 3]"
99,WP-41,"What kind of a band, never plays music?",A rubber band.,A rock band.,A dance band.,None of above.,1,"['A dance band.', 'A rubber band.', 'A rock band.', 'None of above.']","[2, 0, 1, 3]"
100,WP-41_SR,What sort of band never performs music?,A rubber band.,A rock band.,A dance band.,None of above.,2,"['A rock band.', 'A dance band.', 'A rubber band.', 'None of above.']","[1, 2, 0, 3]"
101,WP-41_CR," What kind of a box, can't hold anything?",A checkbox.,A pencil box.,A cigar box.,None of above.,0,"['A checkbox.', 'A pencil box.', 'A cigar box.', 'None of above.']","[0, 1, 2, 3]"
